freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.638e+01,4.143e+01,8.741e+00,9.655e+01
1.5,3.408e+01,3.215e+01,4.869e+01,1.149e+02
3.1,1.091e+01,1.348e+01,3.123e+01,5.561e+01
4.6,3.008e+01,7.023e+01,2.150e+01,1.218e+02
6.2,7.700e+01,2.163e+02,2.017e+01,3.134e+02
7.7,1.177e+02,3.235e+02,1.911e+01,4.603e+02
9.2,1.678e+02,4.486e+02,1.894e+01,6.353e+02
10.8,2.238e+02,5.943e+02,1.976e+01,8.378e+02
12.3,2.853e+02,7.564e+02,1.939e+01,1.061e+03
13.9,3.556e+02,9.057e+02,1.910e+01,1.280e+03
15.4,4.089e+02,1.060e+03,1.950e+01,1.488e+03
16.9,4.592e+02,1.220e+03,1.961e+01,1.699e+03
18.5,5.188e+02,1.399e+03,1.964e+01,1.937e+03
20.0,5.980e+02,1.596e+03,1.954e+01,2.214e+03
21.5,7.137e+02,1.793e+03,1.931e+01,2.526e+03
23.1,8.323e+02,2.055e+03,1.955e+01,2.907e+03
24.6,9.471e+02,2.374e+03,2.044e+01,3.342e+03
26.2,1.119e+03,2.867e+03,2.012e+01,4.006e+03
27.7,1.356e+03,3.340e+03,1.960e+01,4.715e+03
29.2,1.600e+03,3.816e+03,1.917e+01,5.435e+03
30.8,1.784e+03,4.029e+03,2.036e+01,5.833e+03
32.3,1.873e+03,4.107e+03,2.070e+01,6.001e+03
33.9,1.962e+03,4.160e+03,2.194e+01,6.144e+03
35.4,2.032e+03,4.197e+03,2.163e+01,6.250e+03
36.9,2.151e+03,4.389e+03,2.120e+01,6.561e+03
38.5,2.282e+03,4.626e+03,2.241e+01,6.930e+03
40.0,2.354e+03,4.649e+03,2.269e+01,7.026e+03
41.6,2.593e+03,5.002e+03,2.367e+01,7.618e+03
43.1,2.987e+03,5.845e+03,2.602e+01,8.858e+03
44.6,3.344e+03,6.597e+03,2.858e+01,9.969e+03
46.2,3.708e+03,7.054e+03,3.224e+01,1.079e+04
47.7,4.158e+03,7.476e+03,4.202e+01,1.168e+04
49.3,4.717e+03,8.063e+03,4.978e+01,1.283e+04
50.8,5.515e+03,9.083e+03,5.428e+01,1.465e+04
52.3,6.597e+03,1.069e+04,7.130e+01,1.736e+04
