freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.008e+02,1.232e+02,2.600e+01,3.500e+02
1.5,1.180e+02,7.610e+01,6.202e+01,2.561e+02
3.1,1.406e+01,1.324e+01,3.459e+01,6.190e+01
4.6,1.841e+02,1.053e+02,2.436e+01,3.138e+02
6.2,6.859e+02,3.687e+02,2.206e+01,1.077e+03
7.7,1.159e+03,6.102e+02,2.076e+01,1.790e+03
9.2,1.706e+03,8.784e+02,2.087e+01,2.605e+03
10.8,2.421e+03,1.218e+03,2.575e+01,3.665e+03
12.3,3.410e+03,1.744e+03,3.144e+01,5.185e+03
13.8,4.655e+03,2.412e+03,3.433e+01,7.101e+03
15.4,6.100e+03,3.143e+03,3.624e+01,9.279e+03
16.9,7.807e+03,3.975e+03,3.725e+01,1.182e+04
18.5,9.803e+03,5.006e+03,3.440e+01,1.484e+04
20.0,1.181e+04,6.132e+03,3.455e+01,1.798e+04
21.5,1.375e+04,7.368e+03,3.874e+01,2.116e+04
23.1,1.630e+04,9.191e+03,3.457e+01,2.552e+04
24.6,1.963e+04,1.153e+04,3.171e+01,3.120e+04
26.1,2.419e+04,1.436e+04,2.892e+01,3.858e+04
27.7,3.053e+04,1.782e+04,2.528e+01,4.838e+04
29.2,3.950e+04,2.281e+04,3.041e+01,6.234e+04
30.8,5.353e+04,3.153e+04,5.670e+01,8.512e+04
32.3,7.498e+04,4.533e+04,1.133e+02,1.204e+05
33.8,1.074e+05,6.543e+04,2.027e+02,1.731e+05
35.4,1.553e+05,9.779e+04,3.494e+02,2.535e+05
36.9,2.203e+05,1.472e+05,6.860e+02,3.682e+05
38.5,3.074e+05,2.157e+05,1.292e+03,5.244e+05
40.0,3.808e+05,2.827e+05,2.262e+03,6.658e+05
41.5,3.671e+05,2.834e+05,3.145e+03,6.536e+05
43.1,2.753e+05,2.120e+05,3.345e+03,4.906e+05
44.6,1.898e+05,1.404e+05,3.283e+03,3.335e+05
46.1,1.373e+05,9.710e+04,3.504e+03,2.379e+05
47.7,1.015e+05,7.031e+04,3.658e+03,1.755e+05
49.2,7.434e+04,5.022e+04,3.743e+03,1.283e+05
50.8,5.445e+04,3.741e+04,3.897e+03,9.576e+04
52.3,4.122e+04,3.092e+04,4.180e+03,7.632e+04
53.8,3.115e+04,2.539e+04,4.617e+03,6.115e+04
55.4,2.312e+04,1.918e+04,4.988e+03,4.728e+04
56.9,1.647e+04,1.268e+04,5.339e+03,3.449e+04
58.4,1.089e+04,7.488e+03,7.120e+03,2.550e+04
60.0,6.591e+03,5.238e+03,1.027e+04,2.210e+04
61.5,4.855e+03,3.839e+03,1.403e+04,2.273e+04
63.1,6.305e+03,3.068e+03,1.901e+04,2.839e+04
64.6,1.189e+04,4.027e+03,2.601e+04,4.193e+04
66.1,2.445e+04,8.247e+03,3.658e+04,6.928e+04
67.7,5.054e+04,1.907e+04,5.292e+04,1.225e+05
69.2,1.171e+05,4.940e+04,8.261e+04,2.491e+05
70.8,2.347e+05,1.068e+05,1.150e+05,4.566e+05
72.3,3.140e+05,1.501e+05,1.271e+05,5.912e+05
73.8,3.017e+05,1.484e+05,1.136e+05,5.637e+05
75.4,2.446e+05,1.248e+05,8.826e+04,4.576e+05
76.9,1.855e+05,9.889e+04,6.452e+04,3.489e+05
78.4,1.461e+05,7.735e+04,4.752e+04,2.710e+05
80.0,1.307e+05,6.198e+04,3.767e+04,2.303e+05
81.5,1.170e+05,5.251e+04,3.085e+04,2.003e+05
83.1,9.931e+04,4.811e+04,2.585e+04,1.733e+05
84.6,8.596e+04,4.749e+04,2.355e+04,1.570e+05
86.1,7.212e+04,4.469e+04,2.131e+04,1.381e+05
87.7,5.940e+04,4.029e+04,1.925e+04,1.189e+05
89.2,4.882e+04,3.597e+04,1.778e+04,1.026e+05
90.7,3.986e+04,3.162e+04,1.667e+04,8.815e+04
92.3,3.118e+04,2.726e+04,1.570e+04,7.415e+04
93.8,2.372e+04,2.368e+04,1.543e+04,6.283e+04
95.4,2.239e+04,1.908e+04,1.431e+04,5.578e+04
96.9,3.297e+04,1.258e+04,1.141e+04,5.696e+04
98.4,5.402e+04,5.518e+03,7.694e+03,6.723e+04
100.0,6.039e+04,2.000e+03,4.469e+03,6.686e+04
101.5,4.778e+04,6.218e+03,3.899e+03,5.789e+04
103.0,4.001e+04,1.315e+04,5.166e+03,5.833e+04
104.6,4.509e+04,1.823e+04,5.610e+03,6.894e+04
106.1,5.704e+04,2.507e+04,5.649e+03,8.776e+04
